Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
08-07-2013,25.0,32.4,28.4,79.0,0.0,5.4,4.0,80.0,2.0,N 
09-07-2013,24.0,32.6,27.1,81.0,42.3,2.6,5.0,350.0,1.0,N 
10-07-2013,24.0,30.4,26.4,76.0,0.0,3.9,3.0,10.0,2.0,N 
11-07-2013,23.0,32.2,26.6,75.0,40.2,0.0,5.0,120.0,1.0,SE
12-07-2013,24.0,32.8,27.3,82.0,8.4,5.0,5.0,60.0,2.0,NE
13-07-2013,23.0,29.6,26.2,86.0,24.8,0.0,7.0,250.0,2.0,W 
14-07-2013,25.0,31.0,26.6,80.0,0.0,0.0,4.0,270.0,2.0,W 
15-07-2013,25.0,31.2,27.9,73.0,0.0,0.2,3.0,350.0,1.0,S 
16-07-2013,25.0,33.0,28.4,68.0,0.0,4.6,4.0,80.0,2.0,E 
17-07-2013,25.0,32.2,27.9,78.0,5.3,3.6,3.0,350.0,2.0,N 
18-07-2013,24.0,29.2,26.9,82.0,13.7,0.0,3.0,240.0,1.0,SW
19-07-2013,25.0,32.6,28.1,76.0,0.0,5.2,3.0,90.0,1.0,E 
20-07-2013,25.0,30.6,27.7,82.0,0.8,0.0,2.0,260.0,2.0,W 
21-07-2013,24.0,31.2,27.1,78.0,37.8,2.2,3.0,240.0,1.0,SW
22-07-2013,24.0,27.8,25.6,78.0,10.3,0.0,3.0,160.0,2.0,E 
23-07-2013,24.0,32.2,27.8,81.0,0.2,4.3,4.0,110.0,1.0,E 
24-07-2013,25.0,31.4,27.7,78.0,0.0,3.0,4.0,70.0,2.0,E 
25-07-2013,24.0,32.0,28.4,88.0,13.2,3.0,5.0,80.0,2.0,E 
26-07-2013,25.0,33.5,28.4,81.0,0.0,2.4,3.0,100.0,2.0,E 
27-07-2013,25.0,32.8,28.0,80.0,0.0,3.2,3.0,40.0,2.0,NE
28-07-2013,25.0,30.1,27.0,83.0,16.0,1.7,3.0,20.0,2.0,N 
29-07-2013,25.0,31.8,28.5,74.0,0.0,2.5,3.0,10.0,1.0,NE
30-07-2013,25.0,32.2,28.1,81.0,2.7,4.0,2.0,30.0,1.0,NE
31-07-2013,25.0,32.2,27.9,78.0,0.0,4.2,2.0,20.0,1.0,NW
01-08-2013,25.0,33.2,28.3,70.0,2.0,6.0,4.0,90.0,1.0,E 
02-08-2013,25.0,32.0,28.0,75.0,0.0,3.3,4.0,340.0,2.0,N 
03-08-2013,25.0,32.6,29.0,69.0,0.0,5.6,4.0,90.0,2.0,E 
04-08-2013,26.0,33.2,28.6,74.0,0.0,7.0,4.0,360.0,2.0,E 
05-08-2013,26.0,32.4,28.5,74.0,0.0,1.8,3.0,20.0,0.0,N 
06-08-2013,24.0,33.4,29.5,74.0,10.6,4.3,4.0,30.0,1.0,NE
07-08-2013,24.0,32.2,27.9,80.0,4.2,2.6,5.0,230.0,1.0,SW
08-08-2013,24.0,32.2,27.0,81.0,26.6,4.0,4.0,20.0,1.0,N 
09-08-2013,24.0,31.4,27.3,80.0,0.0,4.4,5.0,90.0,2.0,E 
10-08-2013,26.0,32.8,28.6,74.0,0.0,5.0,4.0,20.0,2.0,N 
11-08-2013,25.0,32.6,30.1,73.0,0.0,5.8,3.0,40.0,1.0,N 
12-08-2013,24.0,32.6,28.5,75.0,0.0,5.0,4.0,20.0,1.0,N 
13-08-2013,22.0,32.0,27.5,66.0,0.0,7.3,3.0,90.0,1.0,N 
14-08-2013,24.0,32.8,27.7,68.0,0.0,7.4,3.0,80.0,1.0,E 
15-08-2013,25.0,33.4,28.2,71.0,3.0,6.2,5.0,90.0,2.0,E 
16-08-2013,26.0,34.4,29.0,72.0,0.0,8.0,5.0,70.0,2.0,E 
17-08-2013,25.0,33.8,29.1,73.0,0.7,8.0,4.0,50.0,2.0,W 
18-08-2013,24.0,31.7,27.1,85.0,13.4,5.0,3.0,20.0,1.0,N 
19-08-2013,25.0,33.6,28.4,70.0,0.0,8.0,3.0,20.0,2.0,N 
20-08-2013,26.0,32.0,28.3,69.0,0.0,4.8,3.0,80.0,2.0,E 
21-08-2013,26.0,33.8,28.7,72.0,0.0,8.0,3.0,70.0,2.0,E 
22-08-2013,26.0,35.0,29.7,68.0,0.0,8.0,4.0,250.0,2.0,NE
23-08-2013,26.0,34.4,29.2,70.0,0.0,8.0,3.0,90.0,1.0,E 
24-08-2013,25.0,34.0,29.3,63.0,0.0,8.0,5.0,90.0,2.0,E 
25-08-2013,25.0,34.0,28.7,66.0,0.0,8.0,4.0,70.0,2.0,E 
26-08-2013,25.0,34.2,28.7,67.0,0.0,8.0,5.0,60.0,3.0,E 
27-08-2013,25.0,33.4,29.6,64.0,0.0,8.0,6.0,70.0,3.0,E 
28-08-2013,25.0,33.4,28.9,74.0,0.0,8.0,4.0,20.0,2.0,E 
29-08-2013,26.0,34.0,29.2,72.0,0.0,8.0,4.0,80.0,2.0,E 
30-08-2013,25.0,33.6,28.9,77.0,0.9,7.0,4.0,20.0,3.0,N 
31-08-2013,26.0,33.4,29.1,73.0,0.0,7.0,4.0,60.0,3.0,E 
01-09-2013,26.0,34.6,29.7,73.0,0.0,8.0,4.0,70.0,2.0,E 
02-09-2013,25.0,34.8,29.9,70.0,0.0,8.0,5.0,90.0,2.0,E 
03-09-2013,27.0,32.4,28.9,76.0,0.0,7.2,4.0,40.0,2.0,E 
04-09-2013,26.0,32.0,29.0,76.0,0.0,2.3,4.0,350.0,2.0,NE
05-09-2013,24.0,33.8,28.7,75.0,15.4,8.0,5.0,330.0,2.0,N 
06-09-2013,25.0,32.0,28.3,78.0,0.0,5.5,4.0,340.0,2.0,N 
07-09-2013,25.0,31.6,28.0,78.0,25.4,3.5,4.0,350.0,2.0,N 
08-09-2013,28.0,32.0,27.8,82.0,0.0,7.8,3.0,10.0,1.0,N 
09-09-2013,25.0,32.0,28.5,76.0,0.0,8.0,4.0,350.0,2.0,N 
10-09-2013,25.0,32.2,28.8,73.0,0.0,5.3,5.0,300.0,2.0,N 
11-09-2013,25.0,33.4,28.6,67.0,0.0,8.0,4.0,190.0,2.0,N 
12-09-2013,25.0,34.2,29.2,68.0,0.0,8.0,7.0,90.0,2.0,E 
13-09-2013,25.0,33.4,28.9,73.0,0.0,8.0,5.0,350.0,2.0,N 
14-09-2013,25.0,33.4,29.1,73.0,3.0,4.0,5.0,350.0,2.0,N 
15-09-2013,26.0,32.0,28.1,77.0,2.5,4.3,5.0,360.0,2.0,N 
16-09-2013,26.0,33.0,28.8,71.0,0.0,2.5,5.0,80.0,2.0,E 
17-09-2013,25.0,33.0,28.7,72.0,0.0,6.5,5.0,20.0,2.0,N 
18-09-2013,26.0,33.0,28.9,73.0,0.0,6.0,3.0,340.0,1.0,N 
19-09-2013,26.0,34.0,29.5,72.0,0.0,6.2,4.0,50.0,2.0,N 
20-09-2013,25.0,34.0,29.7,71.0,0.0,7.8,3.0,10.0,2.0,N 
21-09-2013,25.0,33.8,29.1,71.0,3.2,3.3,4.0,20.0,2.0,N 
22-09-2013,25.0,34.0,29.0,73.0,0.0,5.0,3.0,350.0,2.0,N 
23-09-2013,26.0,34.0,29.1,70.0,0.0,8.0,3.0,10.0,2.0,S 
24-09-2013,26.0,35.2,29.8,63.0,0.0,8.0,5.0,80.0,2.0,E 
25-09-2013,27.0,35.4,29.8,69.0,0.0,7.6,3.0,20.0,2.0,N 
26-09-2013,26.0,33.4,29.4,72.0,0.0,7.7,3.0,250.0,2.0,N 
27-09-2013,26.0,33.4,28.9,70.0,0.0,7.4,4.0,350.0,2.0,N 
28-09-2013,27.0,32.8,29.7,74.0,0.0,3.0,5.0,30.0,2.0,N 
29-09-2013,27.0,33.0,29.4,70.0,0.0,6.7,3.0,360.0,3.0,N 
30-09-2013,26.0,31.8,28.3,78.0,0.0,2.0,4.0,20.0,2.0,N 
01-10-2013,26.0,35.2,29.4,71.0,0.0,4.0,4.0,70.0,1.0,E 
02-10-2013,27.0,34.2,29.8,72.0,0.0,2.0,3.0,40.0,0.0,NE
03-10-2013,26.0,34.2,29.9,69.0,0.0,7.0,3.0,90.0,1.0,N 
04-10-2013,26.0,34.0,29.6,65.0,0.0,8.0,3.0,20.0,2.0,N 
05-10-2013,25.0,34.2,29.8,71.0,27.5,7.4,4.0,20.0,2.0,N 
06-10-2013,26.0,33.3,28.8,74.0,0.0,8.0,3.0,20.0,1.0,N 
07-10-2013,25.0,31.8,28.8,70.0,0.4,1.2,3.0,360.0,1.0,N 
08-10-2013,26.0,33.8,29.2,73.0,0.0,8.0,4.0,340.0,2.0,N 
09-10-2013,26.0,33.6,29.4,68.0,0.0,7.0,3.0,90.0,1.0,N 
10-10-2013,26.0,34.2,29.7,66.0,0.0,8.0,5.0,350.0,2.0,N 
11-10-2013,25.0,34.0,29.6,69.0,0.0,8.0,4.0,330.0,2.0,W 
12-10-2013,26.0,33.8,29.7,69.0,0.5,7.0,4.0,260.0,2.0,N 
13-10-2013,26.0,33.4,29.2,70.0,0.0,2.3,3.0,260.0,1.0,W 
14-10-2013,26.0,34.0,29.9,67.0,0.0,7.0,3.0,40.0,1.0,N 
15-10-2013,27.0,34.4,30.0,67.0,0.0,8.0,5.0,350.0,2.0,N 
16-10-2013,27.0,35.8,30.5,67.0,0.0,6.3,4.0,340.0,2.0,E 
17-10-2013,26.0,35.8,31.3,68.0,0.0,8.0,5.0,80.0,2.0,E 
18-10-2013,26.0,33.0,29.5,76.0,0.6,0.5,5.0,70.0,2.0,E 
19-10-2013,25.0,33.8,29.1,75.0,6.7,5.6,5.0,20.0,2.0,N 
20-10-2013,26.0,34.6,29.0,74.0,0.0,7.4,3.0,10.0,2.0,N 
21-10-2013,25.0,33.8,29.8,67.0,0.0,7.5,5.0,360.0,2.0,N 
22-10-2013,25.0,34.0,29.1,72.0,0.0,5.5,9.0,240.0,2.0,N 
