Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
28/06/2013;25.00;31.80;28.50;74.00;0.00;2.50;3.00;10.00;1.00;NE
29/06/2013;25.00;32.20;28.10;81.00;2.70;4.00;2.00;30.00;1.00;NE
30/06/2013;25.00;32.20;27.90;78.00;0.00;4.20;2.00;20.00;1.00;NW
01/07/2013;25.00;33.50;28.50;77.00;0.00;4.00;5.00;100.00;2.00;E 
02/07/2013;24.00;32.50;27.50;80.00;10.30;0.20;5.00;140.00;2.00;W 
03/07/2013;25.00;29.40;26.20;88.00;0.80;0.20;4.00;20.00;2.00;N 
04/07/2013;24.00;27.00;25.30;91.00;21.30;0.00;3.00;90.00;1.00;E 
05/07/2013;24.00;26.80;24.60;94.00;8.60;0.00;2.00;60.00;1.00;NE
06/07/2013;25.00;30.80;27.40;84.00;0.00;5.20;4.00;90.00;0.00;E 
07/07/2013;24.00;32.60;28.10;70.00;0.00;5.20;6.00;90.00;2.00;E 
08/07/2013;25.00;32.40;28.40;79.00;0.00;5.40;4.00;80.00;2.00;N 
09/07/2013;24.00;32.60;27.10;81.00;42.30;2.60;5.00;350.00;1.00;N 
10/07/2013;24.00;30.40;26.40;76.00;0.00;;3.00;10.00;2.00;N 
11/07/2013;23.00;32.20;26.60;75.00;40.20;0.00;5.00;120.00;1.00;SE
12/07/2013;24.00;32.80;27.30;82.00;8.40;5.00;5.00;60.00;2.00;NE
13/07/2013;23.00;29.60;26.20;86.00;24.80;0.00;7.00;250.00;2.00;W 
14/07/2013;25.00;31.00;26.60;80.00;0.00;0.00;4.00;270.00;2.00;W 
15/07/2013;25.00;31.20;27.90;73.00;0.00;0.20;3.00;350.00;1.00;S 
16/07/2013;25.00;33.00;28.40;68.00;0.00;4.60;4.00;80.00;2.00;E 
17/07/2013;25.00;32.20;27.90;78.00;5.30;3.60;3.00;350.00;2.00;N 
18/07/2013;24.00;29.20;26.90;82.00;13.70;0.00;3.00;240.00;1.00;SW
19/07/2013;25.00;32.60;28.10;76.00;0.00;5.20;3.00;90.00;1.00;E 
20/07/2013;25.00;30.60;27.70;82.00;0.80;0.00;2.00;260.00;2.00;W 
21/07/2013;24.00;31.20;27.10;78.00;37.80;2.20;3.00;240.00;1.00;SW
22/07/2013;24.00;27.80;25.60;78.00;10.30;0.00;3.00;160.00;2.00;E 
23/07/2013;24.00;32.20;27.80;81.00;0.20;4.30;4.00;110.00;1.00;E 
24/07/2013;25.00;31.40;27.70;78.00;0.00;3.00;4.00;70.00;2.00;E 
25/07/2013;24.00;32.00;28.40;88.00;13.20;3.00;5.00;80.00;2.00;E 
26/07/2013;25.00;33.50;28.40;81.00;0.00;2.40;3.00;100.00;2.00;E 
27/07/2013;0.00;32.80;28.00;80.00;0.00;3.20;3.00;40.00;2.00;NE
28/07/2013;25.00;30.10;27.00;83.00;16.00;1.70;3.00;20.00;2.00;N 
29/07/2013;25.00;31.80;28.50;74.00;0.00;2.50;3.00;10.00;1.00;NE
30/07/2013;25.00;32.20;28.10;81.00;2.70;4.00;2.00;30.00;1.00;NE
31/07/2013;25.00;32.20;27.90;78.00;0.00;4.20;2.00;20.00;1.00;NW
01/08/2013;25.00;33.20;28.30;70.00;2.00;6.00;4.00;90.00;1.00;E 
02/08/2013;25.00;32.00;28.00;75.00;0.00;3.30;4.00;340.00;2.00;N 
03/08/2013;25.00;32.60;29.00;69.00;0.00;5.60;4.00;90.00;2.00;E 
04/08/2013;26.00;33.20;28.60;74.00;0.00;7.00;4.00;360.00;2.00;E 
05/08/2013;26.00;32.40;28.50;74.00;0.00;1.80;3.00;20.00;0.00;N 
06/08/2013;24.00;33.40;29.50;74.00;10.60;4.30;4.00;30.00;1.00;NE
07/08/2013;24.00;32.20;27.90;80.00;4.20;2.60;5.00;230.00;1.00;SW
08/08/2013;24.00;32.20;27.00;81.00;26.60;4.00;4.00;20.00;1.00;N 
09/08/2013;24.00;31.40;27.30;80.00;0.00;4.40;5.00;90.00;2.00;E 
10/08/2013;26.00;32.80;28.60;74.00;0.00;5.00;4.00;20.00;2.00;N 
11/08/2013;25.00;32.60;30.10;73.00;0.00;5.80;3.00;40.00;1.00;N 
12/08/2013;24.00;32.60;28.50;75.00;0.00;5.00;4.00;20.00;1.00;N 
13/08/2013;22.00;32.00;27.50;66.00;0.00;7.30;3.00;90.00;1.00;N 
14/08/2013;24.00;32.80;27.70;68.00;0.00;7.40;3.00;80.00;1.00;E 
15/08/2013;25.00;33.40;28.20;71.00;3.00;6.20;5.00;90.00;2.00;E 
16/08/2013;26.00;34.40;29.00;72.00;0.00;8.00;5.00;70.00;2.00;E 
17/08/2013;25.00;33.80;29.10;73.00;0.70;8.00;4.00;50.00;2.00;W 
18/08/2013;24.00;31.70;27.10;85.00;13.40;5.00;3.00;20.00;1.00;N 
19/08/2013;25.00;33.60;28.40;70.00;0.00;8.00;3.00;20.00;2.00;N 
20/08/2013;26.00;32.00;28.30;69.00;0.00;4.80;3.00;80.00;2.00;E 
21/08/2013;26.00;33.80;28.70;72.00;0.00;8.00;3.00;70.00;2.00;E 
22/08/2013;26.00;35.00;29.70;68.00;0.00;8.00;4.00;250.00;2.00;NE
23/08/2013;26.00;34.40;29.20;70.00;0.00;8.00;3.00;90.00;1.00;E 
24/08/2013;25.00;34.00;29.30;63.00;0.00;8.00;5.00;90.00;2.00;E 
25/08/2013;25.00;34.00;28.70;66.00;0.00;8.00;4.00;70.00;2.00;E 
26/08/2013;25.00;34.20;28.70;67.00;0.00;8.00;5.00;60.00;3.00;E 
27/08/2013;25.00;33.40;29.60;64.00;0.00;8.00;6.00;70.00;3.00;E 
