Aktual,Prediksi
33.0879,33.5986
34.4242,33.3566
33.9788,33.7174
31.6030,33.5991
33.0879,32.9707
33.2271,33.3180
35.3152,33.4053
33.5333,33.8373
34.1273,33.5213
33.2364,33.6785
34.1273,33.5709
33.6818,33.6020
32.7909,33.5580
33.2364,33.4335
33.2364,33.4207
33.8303,33.3872
32.6424,33.2775
33.9788,33.0152
33.8303,33.6644
34.1273,33.7598
34.4242,33.7650
34.7212,33.7520
34.7212,33.9006
34.2758,33.9371
35.3152,33.7108
32.4939,34.2184
34.5727,33.6157
33.8303,34.0244
33.3848,33.7826
33.9788,33.5642
34.2758,33.6416
33.5333,33.9463
33.5333,33.2526
33.2364,33.1728
33.0879,33.1419
33.0879,33.2020
32.7909,32.9699
32.3455,33.0869
34.2758,32.8574
33.0879,33.4173
32.4939,33.1718
33.3848,33.0636
34.4242,33.1278
34.1273,33.5879
34.8697,33.4685
33.5333,33.6352
34.1273,33.2439
33.5333,33.4768
33.5333,33.3660
33.3848,33.2463
33.8303,33.6311
33.3848,33.5342
34.2758,33.6305
33.6818,33.5952
32.0485,33.4861
33.0879,33.0704
34.5727,33.3333
33.0879,33.6772
33.2364,33.4166
33.2271,33.3686
31.6030,33.5036
33.0879,32.8766
32.6424,33.0730
34.5727,33.0379
32.9394,33.4555
33.0879,33.2744
32.7909,33.1939
33.0879,33.1629
33.0879,33.3127
32.3455,33.3689
32.1970,33.0519
33.0879,32.9018
33.0879,33.1931
33.8303,33.2043
33.0879,33.1452
32.4939,33.2432
32.1970,33.1215
33.9788,32.7269
33.8303,33.3741
33.0879,33.4195
32.7909,33.2658
33.8303,33.1939
33.6818,33.3577
33.6818,33.3100
33.8303,33.4152
32.3455,33.3365
33.8303,33.1738
33.5333,33.5379
34.7212,33.5224
33.2364,33.7890
33.5333,33.4769
33.2364,33.5888
33.6818,33.4455
33.5333,33.4225
33.0879,33.4263
33.8303,33.4010
32.7909,33.4321
34.2758,33.1216
33.5333,33.4303
31.9000,33.2896
33.0879,33.0386
33.2364,32.9513
33.8303,32.9912
33.2364,33.1366
33.2364,33.0530
33.6818,33.2181
33.2364,33.2897
31.4545,33.1919
33.8303,32.8802
33.6818,33.3608
33.5333,33.2534
32.9394,33.4261
33.5333,33.1315
32.9394,33.3328
33.5333,33.0931
32.1970,33.1773
33.2271,32.9915
32.0485,33.1665
33.6818,32.8078
31.0091,33.1091
32.9394,32.6026
31.7515,32.8943
33.0879,32.7872
34.2758,32.8856
33.6818,33.3848
34.1273,33.4119
34.4242,33.7128
33.6818,33.6395
33.3848,33.5169
33.0879,33.2829
31.3061,33.1658
32.9394,32.5653
32.6424,33.1723
32.9394,33.1434
32.6424,33.4724
32.7909,33.3349
34.1273,33.2720
33.2364,33.3874
33.6818,33.3887
34.5727,33.5177
33.9788,33.6131
33.0879,33.6592
32.7909,33.4637
32.7909,33.1883
33.3848,32.9759
34.2758,33.2101
32.7909,33.1726
33.2364,33.1011
